127.0.0.1 - - [19/Jul/2020:20:01:56 +0900] "GET / HTTP/1.1" 200 36230
0:0:0:0:0:0:0:1 - - [19/Jul/2020:20:01:58 +0900] "GET /WEB-INF/classes/com/mycompany/myapp/HomeController.java HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [19/Jul/2020:20:03:42 +0900] "GET / HTTP/1.1" 200 36230
0:0:0:0:0:0:0:1 - - [19/Jul/2020:20:03:42 +0900] "GET /resources/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2020:20:03:42 +0900] "GET /resources/vendor/datatables/dataTables.bootstrap4.min.css HTTP/1.1" 200 5395
0:0:0:0:0:0:0:1 - - [19/Jul/2020:20:03:42 +0900] "GET /resources/css/sb-admin-2.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2020:20:03:42 +0900] "GET /resources/js/sb-admin-2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2020:20:03:42 +0900] "GET /resources/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2020:20:03:42 +0900] "GET /resources/vendor/datatables/dataTables.bootstrap4.min.js HTTP/1.1" 200 2094
0:0:0:0:0:0:0:1 - - [19/Jul/2020:20:03:42 +0900] "GET /resources/js/demo/datatables-demo.js HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [19/Jul/2020:20:03:42 +0900] "GET /resources/vendor/datatables/jquery.dataTables.min.js HTTP/1.1" 200 82867
0:0:0:0:0:0:0:1 - - [19/Jul/2020:20:03:43 +0900] "GET /resources/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2020:20:03:43 +0900] "GET /resources/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2020:20:03:43 +0900] "GET /resources/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2020:20:03:43 +0900] "GET /favicon.ico HTTP/1.1" 404 721
